Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	18:36 1/6/2022	173
Tom	18:36 1/6/2022	208
TomH	18:37 1/6/2022	125
a	18:37 1/6/2022	104
s	18:37 1/6/2022	136
Lana	18:39 1/6/2022	111
a	18:39 1/6/2022	139
TomH	18:40 1/6/2022	112
shamz	18:40 1/6/2022	140
Lana	18:40 1/6/2022	112
Lana	18:40 1/6/2022	146
a	8:16 1/0/2022	137
s	8:16 1/0/2022	157
TomH	8:17 1/0/2022	151
Lana	8:17 1/0/2022	138
s	8:17 1/0/2022	148
shamz	8:17 1/0/2022	137
a	8:17 1/0/2022	88
s	8:17 1/0/2022	90
s	8:54 1/0/2022	146
a	8:54 1/0/2022	152
shamz	8:54 1/0/2022	131
Jim	9:16 1/0/2022	123
Lana	9:16 1/0/2022	119
Jim	9:16 1/0/2022	128
s	9:16 1/0/2022	140
a	9:16 1/0/2022	108
Mike	9:17 1/0/2022	99
Jim	9:17 1/0/2022	126
Tom	9:17 1/0/2022	108
Lana	9:17 1/0/2022	149
TomH	9:17 1/0/2022	128
a	9:17 1/0/2022	117
s	9:18 1/0/2022	145
Mike	9:20 1/0/2022	136
Jim	9:20 1/0/2022	192
Mike	9:35 1/0/2022	133
Jim	9:35 1/0/2022	134
Tom	9:35 1/0/2022	169
Mike	9:37 1/0/2022	138
Jim	9:37 1/0/2022	102
Tom	9:37 1/0/2022	145
Mike	9:40 1/0/2022	130
Jim	9:40 1/0/2022	122
Tom	9:40 1/0/2022	149
Jim	9:59 1/0/2022	125
Jim	9:59 1/0/2022	123
Lana	9:59 1/0/2022	108
TomH	9:59 1/0/2022	156
Mike	10:1 1/0/2022	95
Mike	10:6 1/0/2022	152
Mike	10:28 1/0/2022	136
Tom	10:28 1/0/2022	174
Tom	10:28 1/0/2022	124
Tom	10:28 1/0/2022	162

Mike	10:49 1/0/2022	93
Tom	10:49 1/0/2022	134
Mike	10:49 1/0/2022	112
Tom	10:49 1/0/2022	133
Mike	10:49 1/0/2022	124
Tom	10:50 1/0/2022	115
Mike	10:50 1/0/2022	115
shamz	10:50 1/0/2022	171
s	10:50 1/0/2022	136
baidi	10:50 1/0/2022	108
shamz	10:51 1/0/2022	100
s	10:51 1/0/2022	106
baidi	10:51 1/0/2022	130
Mike	11:5 1/0/2022	134
shamz	11:5 1/0/2022	101
Mike	11:5 1/0/2022	154
TomH	11:5 1/0/2022	112
Lana	11:5 1/0/2022	184
a	11:40 1/0/2022	142
Mike	11:40 1/0/2022	131
Jim	11:40 1/0/2022	95
TomH	11:40 1/0/2022	97
Lana	11:40 1/0/2022	97
Lana	11:41 1/0/2022	167
a	11:43 1/0/2022	130
Mike	11:43 1/0/2022	110
Jim	11:43 1/0/2022	117
Tom	11:43 1/0/2022	105
Lana	11:43 1/0/2022	133
Jim	11:45 1/0/2022	119
TomH	11:45 1/0/2022	150
a	11:45 1/0/2022	95
Mike	11:46 1/0/2022	107
Jim	11:47 1/0/2022	133
TomH	11:47 1/0/2022	146
Mike	11:49 1/0/2022	109
Jim	11:49 1/0/2022	154
Lana	11:49 1/0/2022	142
Jim	11:50 1/0/2022	164
Lana	11:50 1/0/2022	105
Tom	12:7 1/0/2022	113
TomH	12:7 1/0/2022	135
Mike	12:8 1/0/2022	147
Jim	12:8 1/0/2022	137
Tom	12:8 1/0/2022	142
TomH	12:8 1/0/2022	106
TomH	14:4 1/0/2022	155
shamz	14:4 1/0/2022	113
Mike	14:4 1/0/2022	115
wq	14:4 1/0/2022	146
